"Full_Team_Name","Year","Current Value","Revenue","Operating Income","Rank","Winning_Percentage","Fan_Cost_Index"
"ATLANTA HAWKS","2012",304.371,122.8757,-16.57131,28,53.7,262.6609
"ATLANTA HAWKS","2013",351.076,109.989,-20.7757,28,46.3,266.68444
"ATLANTA HAWKS","2014",464.6525,130.1027,-3.93588,27,73.2,268.284887
"ATLANTA HAWKS","2015",900.9,145.236,16.1616,22,58.5,278.76576
"ATLANTA HAWKS","2016",889680000,153132800,7548800,24,52.4,332.031315136
"ATLANTA HAWKS","2017",934471500,178447100,20906820,23,29.3,380.657313972
"ATLANTA HAWKS","2018",1184730000,215311800,22664400,23,35.4,352.699272
"ATLANTA HAWKS","2019",1315990000,217644500,42516600,24,29.9,327.200039874
"ATLANTA HAWKS","2020",1.52e+09,2.51e+08,7.8e+07,23,56.7,304.08876
"ATLANTA HAWKS","2021",1452056000,212076600,34390800,24,51.7,291.662643
"BOSTON CELTICS","2012",543.3586,164.5858,8.68021,5,50.6,474.412932
"BOSTON CELTICS","2013",811.03,158.873,20.7757,4,30.5,483.24056
"BOSTON CELTICS","2014",956.6375,184.7677,51.16644,4,48.8,485.600128
"BOSTON CELTICS","2015",1856.4,188.916,59.9508,4,58.5,458.59632
"BOSTON CELTICS","2016",2264640000,195190400,61900160,4,64.6,512.591617712
"BOSTON CELTICS","2017",2322980000,211180000,63459590,5,67.1,560.357798949
"BOSTON CELTICS","2018",2575500000,264761400,87567000,5,59.8,579.765654
"BOSTON CELTICS","2019",2834440000,290530100,101230000,5,65.2,579.325806164
"BOSTON CELTICS","2020",3.1e+09,3.04e+08,8.8e+07,5,48.7,581.80336
"BOSTON CELTICS","2021",3056960000,261752200,82155800,5,61.3,569.463883
"BROOKLYN NETS","2013",588.83,93.324,-18.4426,9,53.7,NA
"BROOKLYN NETS","2014",852.774,207.727,-20.7727,5,46.3,NA
"BROOKLYN NETS","2015",1638,231.504,-108.5448,6,25.6,NA
"BROOKLYN NETS","2016",1833280000,237248000,-6146880,7,24.4,NA
"BROOKLYN NETS","2017",1900620000,235465700,16577630,7,34.1,NA
"BROOKLYN NETS","2018",2369460000,281244600,53570400,6,51.2,NA
"BROOKLYN NETS","2019",2378905000,293567000,53651900,6,46.1,NA
"BROOKLYN NETS","2020",2.5e+09,3.04e+08,4.2e+07,7,65.5,NA
"BROOKLYN NETS","2021",2531545000,267484000,42033200,7,51.7,NA
"CHARLOTTE HORNETS","2016",808800000,153132800,3990080,26,43.9,245.315920192
"CHARLOTTE HORNETS","2017",823602000,166832200,9925460,28,43.9,256.122018284
"CHARLOTTE HORNETS","2018",1081710000,208100400,21634200,28,47.6,230.950236
"CHARLOTTE HORNETS","2019",1265375000,215619900,22270600,28,35.4,231.6606286475
"CHARLOTTE HORNETS","2020",1.5e+09,2.4e+08,3.9e+07,25,45.2,233.51165
"CHARLOTTE HORNETS","2021",1432950000,205389500,34390800,25,51.8,226.931515
"CHICAGO BULLS","2012",676.38,208.5505,66.96162,3,54.9,480.90618
"CHICAGO BULLS","2013",888.8,179.982,37.9962,3,58.5,507.2826
"CHICAGO BULLS","2014",1093.3,213.1935,57.07026,3,61,521.853956
"CHICAGO BULLS","2015",2184,219.492,71.3076,3,51.2,521.23344
"CHICAGO BULLS","2016",2480320000,245875200,72899840,3,50,573.428416
"CHICAGO BULLS","2017",2639750000,244968800,48043450,4,32.9,618.926344
"CHICAGO BULLS","2018",2678520000,289486200,97869000,4,26.8,603.862032
"CHICAGO BULLS","2019",2935670000,290530100,115402200,4,33.9,582.758080175
"CHICAGO BULLS","2020",3.2e+09,3.01e+08,1.03e+08,4,4.31,565.1945
"CHICAGO BULLS","2021",3152490000,286590000,109859500,4,54,552.64105
"CLEVELAND CAVALIERS","2012",370.8817,167.9677,37.08817,18,29.3,324.21148
"CLEVELAND CAVALIERS","2013",482.174,142.208,20.6646,16,40.2,301.90314
"CLEVELAND CAVALIERS","2014",563.0495,158.5285,11.80764,19,64.6,297.093342
"CLEVELAND CAVALIERS","2015",999.18,162.708,22.4952,15,69.5,299.73216
"CLEVELAND CAVALIERS","2016",1186240000,205974400,26744320,12,62.2,404.233667584
"CLEVELAND CAVALIERS","2017",1267080000,246024700,-42447180,11,61,501.775843968
"CLEVELAND CAVALIERS","2018",1365015000,288456000,-6387240,15,23.2,492.518016
"CLEVELAND CAVALIERS","2019",1290682500,305714600,-13159900,25,29.2,463.34165514
"CLEVELAND CAVALIERS","2020",1.51e+09,3e+08,3.9e+07,24,30.6,437.3436
"CLEVELAND CAVALIERS","2021",1490268000,256975700,43943800,22,52.4,419.47223
"DALLAS MAVERICKS","2012",560.2681,187.1318,-4.39647,4,50,362.066214
"DALLAS MAVERICKS","2013",761.035,152.207,14.443,5,59.8,356.83098
"DALLAS MAVERICKS","2014",836.3745,177.1146,40.99875,8,61,341.32826
"DALLAS MAVERICKS","2015",1255.8,183.456,33.1968,10,51.2,306.87384
"DALLAS MAVERICKS","2016",1509760000,190876800,26205120,9,40.2,378.340464
"DALLAS MAVERICKS","2017",1531055000,204844600,42552770,9,29.3,444.164335
"DALLAS MAVERICKS","2018",1957380000,240036600,21634200,9,40.2,433.35363
"DALLAS MAVERICKS","2019",2277675000,290530100,100217700,8,55.6,455.357017414
"DALLAS MAVERICKS","2020",2.4e+09,3.07e+08,1.05e+08,9,57,478.99836
"DALLAS MAVERICKS","2021",2340485000,281813500,80245200,9,61,455.764077
"DENVER NUGGETS","2012",356.2268,127.3849,-1.35276,21,69.5,367.973266
"DENVER NUGGETS","2013",474.397,122.21,13.332,19,43.9,354.5201
"DENVER NUGGETS","2014",541.1835,135.5692,8.7464,20,36.6,352.58925
"DENVER NUGGETS","2015",933.66,148.512,15.288,19,40.2,345.09384
"DENVER NUGGETS","2016",922032000,150976000,28361920,21,48.8,349.642428288
"DENVER NUGGETS","2017",939751000,165776300,22385080,22,56.1,351.009289176
"DENVER NUGGETS","2018",1158975000,208100400,50479800,24,65.9,348.743304
"DENVER NUGGETS","2019",1391912500,224730600,47578100,21,59.8,359.589884241
"DENVER NUGGETS","2020",1.6e+09,2.52e+08,5.2e+07,18,62.2,371.92134
"DENVER NUGGETS","2021",1576245000,208255400,25793100,19,56.3,359.976146
"DETROIT PISTONS","2012",374.2636,158.9493,10.93481,17,35.4,286.78512
"DETROIT PISTONS","2013",444.4,138.875,8.5547,22,35.4,291.5264
"DETROIT PISTONS","2014",491.985,151.9687,11.26099,25,39,285.56996
"DETROIT PISTONS","2015",884.52,157.248,19.2192,23,53.7,235.52256
"DETROIT PISTONS","2016",916640000,166073600,17254400,22,45.1,303.96548064
"DETROIT PISTONS","2017",950310000,181614800,23018620,21,47.6,367.51042978
"DETROIT PISTONS","2018",1133220000,227674200,22664400,25,50,352.22538
"DETROIT PISTONS","2019",1285621000,237890500,52639600,26,30.3,334.912591606
"DETROIT PISTONS","2020",1.45e+09,2.55e+08,5.2e+07,26,27.8,319.78644
"DETROIT PISTONS","2021",1385185000,216853100,42988500,27,28.1,312.363994
"GOLDEN STATE WARRIORS","2012",507.285,156.6947,25.02606,8,57.3,293.99984
"GOLDEN STATE WARRIORS","2013",616.605,141.097,32.3301,8,62.2,360.05288
"GOLDEN STATE WARRIORS","2014",819.975,174.928,47.0119,9,81.7,367.917316
"GOLDEN STATE WARRIORS","2015",1419.6,183.456,49.0308,7,89,514.72512
"GOLDEN STATE WARRIORS","2016",2048960000,216758400,62115840,6,81.7,582.689154432
"GOLDEN STATE WARRIORS","2017",2745340000,322049500,78347780,3,70.7,643.354548264
"GOLDEN STATE WARRIORS","2018",3193620000,369841800,123624000,3,69.5,683.764344
"GOLDEN STATE WARRIORS","2019",3543050000,405932300,104266900,3,23.1,690.680020924
"GOLDEN STATE WARRIORS","2020",4.3e+09,4.4e+08,1.09e+08,3,52.7,700.85576
"GOLDEN STATE WARRIORS","2021",4489910000,452812200,191060000,2,66.4,706.998424
"HOUSTON ROCKETS","2012",510.6669,169.095,20.17867,7,54.9,337.378344
"HOUSTON ROCKETS","2013",631.048,149.985,29.5526,7,65.9,373.36266
"HOUSTON ROCKETS","2014",847.3075,208.8203,69.64321,6,68.3,404.367938
"HOUSTON ROCKETS","2015",1365,191.1,41.496,8,50,411.05064
"HOUSTON ROCKETS","2016",1617600000,255580800,80448640,8,67.1,478.882305728
"HOUSTON ROCKETS","2017",1742235000,257639600,66204930,8,79.3,540.319699556
"HOUSTON ROCKETS","2018",2266440000,304939200,97869000,7,64.6,566.239128
"HOUSTON ROCKETS","2019",2328290000,330009800,104266900,7,58.3,561.912251933
"HOUSTON ROCKETS","2020",2.475e+09,3.48e+08,1.1e+08,8,23.6,560.52942
"HOUSTON ROCKETS","2021",2388250000,294232400,89798200,8,24.4,540.336786
"INDIANA PACERS","2012",319.0259,113.8573,-11.83665,25,60.5,239.957078
"INDIANA PACERS","2013",425.513,108.878,12.1099,24,68.3,252.59696
"INDIANA PACERS","2014",519.3175,132.2893,12.68228,22,46.3,254.126652
"INDIANA PACERS","2015",906.36,151.788,27.3,21,54.9,281.0808
"INDIANA PACERS","2016",905856000,148819200,20489600,23,51.2,311.01789312
"INDIANA PACERS","2017",929192000,165776300,25236010,24,58.5,337.26882024
"INDIANA PACERS","2018",1210485000,211191000,29875800,22,58.5,332.383728
"INDIANA PACERS","2019",1417220000,224730600,50615000,20,58.4,338.452928642
"INDIANA PACERS","2020",1.525e+09,2.43e+08,5.5e+07,22,47.2,346.04108
"INDIANA PACERS","2021",1480715000,207300100,37256700,23,30.5,292.025657
"LOS ANGELES LAKERS","2012",1014.57,234.4784,27.39339,1,54.9,583.9414
"LOS ANGELES LAKERS","2013",1111,218.867,53.1058,2,32.9,602.162
"LOS ANGELES LAKERS","2014",1475.955,322.5235,72.59512,2,25.6,591.4753
"LOS ANGELES LAKERS","2015",2839.2,319.956,113.6772,1,20.7,595.22736
"LOS ANGELES LAKERS","2016",2911680000,327833600,143858560,2,31.7,638.083046848
"LOS ANGELES LAKERS","2017",3167700000,351614700,125863280,2,42.7,673.989881796
"LOS ANGELES LAKERS","2018",3399660000,382204200,140107200,2,45.1,711.672462
"LOS ANGELES LAKERS","2019",3745510000,399858500,148808100,2,73.9,709.9108055
"LOS ANGELES LAKERS","2020",4.4e+09,4.34e+08,1.78e+08,2,57,711.76
"LOS ANGELES LAKERS","2021",4394380000,382120000,148071500,3,40.2,679.944328
"MEMPHIS GRIZZLIES","2012",303.2437,111.6027,-27.95704,29,68.3,241.197108
"MEMPHIS GRIZZLIES","2013",418.847,106.656,-13.8875,25,61,235.70976
"MEMPHIS GRIZZLIES","2014",495.2649,137.7558,12.24496,24,67.1,244.811736
"MEMPHIS GRIZZLIES","2015",819,147.42,11.466,25,51.2,244.52064
"MEMPHIS GRIZZLIES","2016",841152000,158524800,11107520,25,52.4,258.816129408
"MEMPHIS GRIZZLIES","2017",834161000,163664500,NA,26,26.8,270.395125416
"MEMPHIS GRIZZLIES","2018",1055955000,212221200,15453000,29,40.2,262.762812
"MEMPHIS GRIZZLIES","2019",1214760000,215619900,27332100,30,46,264.120164808
"MEMPHIS GRIZZLIES","2020",1.3e+09,2.24e+08,2.4e+07,30,51.9,266.76192
"MEMPHIS GRIZZLIES","2021",1241890000,200613000,21016600,30,66,246.696672
"MIAMI HEAT","2012",515.1761,178.1134,29.3098,6,80.5,501.6485
"MIAMI HEAT","2013",694.375,166.65,16.5539,6,65.9,524.6142
"MIAMI HEAT","2014",841.841,205.5404,31.92436,7,45.1,511.88306
"MIAMI HEAT","2015",1283.1,205.296,13.7592,9,58.5,508.78464
"MIAMI HEAT","2016",1401920000,194112000,22430720,10,50,485.080948928
"MIAMI HEAT","2017",1425465000,221739000,22279490,10,53.7,457.955275956
"MIAMI HEAT","2018",1751340000,260640600,64902600,10,47.6,447.704316
"MIAMI HEAT","2019",1771525000,262185700,40492000,10,61.7,445.309079459
"MIAMI HEAT","2020",1.95e+09,2.94e+08,5.8e+07,12,52.6,445.21666
"MIAMI HEAT","2021",1910600000,254109800,36301400,12,64,429.178078
"MILWAUKEE BUCKS","2012",302.1164,103.7116,-8.56748,30,46.3,353.791832
"MILWAUKEE BUCKS","2013",346.632,96.657,-0.5555,30,18.3,343.6323
"MILWAUKEE BUCKS","2014",442.7865,119.1697,12.57295,30,50,356.251805
"MILWAUKEE BUCKS","2015",655.2,120.12,12.558,30,40.2,355.8282
"MILWAUKEE BUCKS","2016",727920000,135878400,12509440,29,51.2,361.902887296
"MILWAUKEE BUCKS","2017",828881500,154161400,25341600,27,53.7,364.639099792
"MILWAUKEE BUCKS","2018",1107465000,184405800,20604000,26,73.2,396.173712
"MILWAUKEE BUCKS","2019",1366605000,206509200,25307500,22,69.25,429.997383964
"MILWAUKEE BUCKS","2020",1.58e+09,2.83e+08,6.9e+07,19,65.3,464.98536
"MILWAUKEE BUCKS","2021",1552362500,228316700,25793100,20,61.7,456.996414
"MINNESOTA TIMBERWOLVES","2012",306.6256,109.3481,-7.66564,27,37.8,294.428214
"MINNESOTA TIMBERWOLVES","2013",404.404,106.656,-4.9995,26,48.8,304.39178
"MINNESOTA TIMBERWOLVES","2014",470.119,126.8228,-2.95191,26,19.5,307.282898
"MINNESOTA TIMBERWOLVES","2015",682.5,139.776,7.5348,29,35.4,306.91752
"MINNESOTA TIMBERWOLVES","2016",776448000,157446400,16283840,27,37.8,306.988365248
"MINNESOTA TIMBERWOLVES","2017",813043000,162608600,27347810,29,57.3,304.395316596
"MINNESOTA TIMBERWOLVES","2018",1092012000,210160800,54600600,27,43.9,305.227656
"MINNESOTA TIMBERWOLVES","2019",1275498000,225742900,47578100,27,29.7,295.662207925
"MINNESOTA TIMBERWOLVES","2020",1.375e+09,2.34e+08,4.6e+07,28,31.9,287.8595
"MINNESOTA TIMBERWOLVES","2021",1337420000,204434200,30569600,28,55.1,284.96599
"NEW ORLEANS PELICANS","2014",459.186,126.8228,12.24496,28,54.9,242.49394
"NEW ORLEANS PELICANS","2015",709.8,143.052,20.748,28,36.6,242.2056
"NEW ORLEANS PELICANS","2016",700960000,153132800,21244480,30,41.5,256.46681344
"NEW ORLEANS PELICANS","2017",791925000,164720400,17633530,30,58.5,268.03303488
"NEW ORLEANS PELICANS","2018",1030200000,210160800,38117400,30,40.2,272.405484
"NEW ORLEANS PELICANS","2019",1235006000,216632200,29356700,29,41.7,286.525906858
"NEW ORLEANS PELICANS","2020",1.35e+09,2.24e+08,4.9e+07,29,43.1,301.66892
"NEW ORLEANS PELICANS","2021",1289655000,199657700,42033200,29,44.4,296.181212
"NEW YORK KNICKS","2012",879.294,275.0612,84.43477,2,65.9,725.733194
"NEW YORK KNICKS","2013",1222.1,269.973,92.4352,1,45.1,733.17112
